pwacc,name,pwtype,category,url,source,srcid,externalid,extid,taxid,taxname,core,cids,geneids,protacxns,pmids,ecs,annotation
Reactome:R-MMU-69306,DNA Replication,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-69306,Reactome,3,R-MMU-69306,R-MMU-69306,10090,Mus musculus (house mouse),0,1778309|3681305|5461108|7058055|7058165|11988283|15938965|25244665|25320183|135398598|135398630,12544|12545|12566|16211|16881|16912|16913|17215|17216|17217|17218|17219|17220|17222|17463|18392|18393|18538|18968|18969|18971|18972|18973|18974|19075|19076|19166|19167|19170|19171|19172|19173|19175|19177|19179|19181|19182|19184|19185|19186|19192|19687|19718|21402|21762|22123|22194|23834|23996|23997|26428|26429|26440|26441|26442|26443|26444|26445|26446|26965|27214|27401|50793|52206|52563|52717|53380|56317|56371|56438|57296|57441|59001|59008|59029|66156|66413|66440|66634|66979|66997|66998|67089|67151|67177|68240|68275|68612|68999|69077|69263|69270|69745|69957|70024|70247|72151|73677|73902|75430|77891|78833|99152|103554|106344|109145|216080|217232|228769|272551|327762|621823|100041230,A2A6Q5|O09061|O35226|O35593|O35654|O35955|O54956|O55234|O70435|O88513|O88685|O88708|O89033|P14685|P17918|P20664|P25206|P26516|P28063|P28076|P33609|P33610|P33611|P35601|P37913|P39749|P46471|P49717|P49718|P49722|P52431|P52482|P53995|P54775|P60007|P61080|P61290|P62192|P62196|P62334|P62806|P62878|P70168|P70195|P97310|P97311|P97371|P97372|P97377|P99026|Q0VBD2|Q3TXS7|Q5SSW2|Q60692|Q60862|Q61881|Q62193|Q6ZQJ5|Q8BG32|Q8BG41|Q8BGZ4|Q8BHL8|Q8BJY1|Q8BTZ4|Q8BZQ7|Q8K2H6|Q8R323|Q8R349|Q8R4E9|Q8VDM4|Q8VEE4|Q91W96|Q921J4|Q99J62|Q99JI4|Q99JP4|Q99LZ3|Q9CPV2|Q9CPX9|Q9CQ36|Q9CQ71|Q9CR00|Q9CWH6|Q9CWP8|Q9CWV1|Q9CX56|Q9CY94|Q9CZ15|Q9D0F6|Q9D1C1|Q9D600|Q9D8W5|Q9EQ28|Q9JK30|Q9JKP7|Q9QUM9|Q9QZ41|Q9R1K5|Q9R1P0|Q9R1P1|Q9R1P3|Q9R1P4|Q9WTX5|Q9WTX6|Q9WUJ8|Q9WUK4|Q9WUV0|Q9WVF7|Q9WVJ2|Q9WVM3|Q9Z0H0|Q9Z0Z3|Q9Z1N2|Q9Z1X9|Q9Z2U0|Q9Z2U1|Q9Z2X2,1536007|1579437|8223461|10966477|11257218|12045100,2.3.2.23|2.3.2.24|2.3.2.27|2.3.2.32|2.7.11.1|2.7.11.22|2.7.7.102|2.7.7.7|3.1.-.-|3.1.11.-|3.4.19.-|3.4.25.1|3.6.4.12|6.5.1.1,NULL
Reactome:R-MMU-5696398,Nucleotide Excision Repair,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-5696398,Reactome,3,R-MMU-5696398,R-MMU-5696398,10090,Mus musculus (house mouse),0,936|962|3681305|4097574|5461108|7058055|15938971,11461|11834|12572|12848|13194|13870|13871|13872|14884|14885|15312|17420|17749|18538|19687|19718|20020|20021|20610|21399|22196|22218|22590|22591|22632|23894|26370|26572|26754|26891|26893|28000|50505|51812|56031|56249|56438|56456|56505|57905|66420|66467|66491|66671|66983|67439|67710|68058|68142|68240|68275|69241|69263|69714|69833|69920|70020|70620|71101|71991|72151|77593|93765|93836|106344|108679|170930|209357|225280|227195|231329|235134|245841|252870|319955|328572,B2RWS6|D3Z3H0|F8VPZ5|O08740|O08811|O35864|O70422|O88543|O88544|O88545|P07903|P08775|P10711|P17918|P18608|P35601|P49135|P51612|P51949|P60122|P60710|P60898|P61089|P61202|P61219|P61957|P62488|P62876|P62878|P63166|P63280|P97760|Q00899|Q03147|Q3U1J1|Q3U1J4|Q61458|Q62193|Q63871|Q64267|Q66JY2|Q69ZQ2|Q6A4J8|Q6PIJ4|Q6ZPV2|Q80US4|Q80UW8|Q8BHA0|Q8CFD5|Q8CFI7|Q8CFQ3|Q8K2X8|Q8K387|Q8R1N0|Q8R2S9|Q8R323|Q8VBV7|Q8VD76|Q8VEE4|Q923G2|Q99J62|Q99KP6|Q99L90|Q99LD4|Q99ML9|Q99PT3|Q9CQ71|Q9CXF7|Q9D0F6|Q9D2M8|Q9D479|Q9D7M8|Q9DBA9|Q9DCD2|Q9JIB4|Q9QZD4|Q9QZH3|Q9R1K9|Q9WUK4|Q9Z172|Q9Z2N8,10583946|11900249|14599765|19023283|23906714|24954209,2.3.1.-|2.3.1.48|2.3.2.-|2.3.2.23|2.3.2.27|2.3.2.32|2.7.11.22|2.7.11.23|2.7.7.6|3.1.-.-|3.4.-.-|3.4.19.12|3.6.4.-|3.6.4.12|3.6.4.13|5.2.1.8,NULL
Reactome:R-MMU-8982491,Glycogen metabolism,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-8982491,Reactome,3,R-MMU-8982491,R-MMU-8982491,10090,Mus musculus (house mouse),0,271|888|962|27854|79025|439156|439165|1778309|3681305|4097574|5461108|7058055|7058168|15938965|20056717|21604864,12315|14387|14936|18679|18682|19309|27357|53412|66681|68961|70974|72157|74185|102093|110094|110095|216558,F8VPN4|P07934|P0DP26|P18826|P70699|Q7TMB3|Q7TSH2|Q7TSV4|Q8BWJ3|Q8CAA7|Q91ZJ5|Q9D0F9|Q9D6Y9|Q9DB30|Q9ET01|Q9R062|Q9WUB3|Q9Z1E4,183599|4320262|5264799|9806880|18651836|22248338,2.4.1.1|2.4.1.11|2.4.1.18|2.4.1.186|2.7.1.106|2.7.11.1|2.7.11.19|2.7.11.26|2.7.7.9|3.2.1.20|5.4.2.2|5.4.2.7,NULL
Reactome:R-MMU-70263,Gluconeogenesis,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-70263,Reactome,3,R-MMU-70263,R-MMU-70263,10090,Mus musculus (house mouse),0,280|311|888|962|970|1038|27854|79025|107735|164533|171548|222656|3674425|3681305|4643300|5460294|5460299|5460765|5461108|7058055|15938965|15938971|21604863|21604864|21604869|24794350|25245548|40467846|45266541|46878409|135398618|135398632,11674|11676|13358|13807|13808|14120|14121|14377|14378|14433|14447|14718|14719|14751|17448|17449|18534|18648|18655|18663|21991|27376|56012|67863|68401|74551|230163|433182,A0A1L1SUI3|O70250|P05063|P05064|P05201|P05202|P06745|P08249|P09041|P09411|P14152|P16858|P17182|P17183|P17751|P21550|P35576|P70695|Q05920|Q64467|Q6NSQ9|Q8BH04|Q8JZU2|Q91Y97|Q9CR62|Q9DBJ1|Q9QXD6|Q9QZD8|Q9Z186|Q9Z2V4,8379904,1.1.1.37|1.2.1.12|2.6.1.1|2.6.1.3|2.6.1.7|2.6.99.-|2.7.11.-|2.7.2.3|3.1.3.11|3.1.3.9|4.1.1.32|4.1.2.13|4.2.1.11|4.2.3.3|5.3.1.1|5.3.1.9|5.4.2.11|5.4.2.4|6.4.1.1,NULL
Reactome:R-MMU-70171,Glycolysis,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-70171,Reactome,3,R-MMU-70171,R-MMU-70171,10090,Mus musculus (house mouse),0,223|311|813|888|962|1038|6076|65246|79025|82400|105021|107735|152306|439217|3674425|3681305|4643300|5460765|5461108|7058055|9548671|15938965|15938971|21604863|21604864|21604869|24794350|25245548|40467846|45266541|46878409,11674|11676|12183|13807|13808|14433|14447|14751|18141|18226|18639|18640|18641|18642|18648|18655|18663|18746|19069|19386|21991|26384|54563|56012|56421|59015|66679|67980|69482|69736|69912|70974|71805|71844|72124|72141|72787|103468|107939|108989|110379|170762|223921|227699|227720|230163|231042|231103|234865|269113|269966|270198|433182|445007,A0A0J9YUD5|A7UAK5|E9Q3G8|F6ZDS4|O70250|O88958|P05063|P05064|P06745|P09041|P09411|P12382|P15327|P16858|P17182|P17183|P17751|P21550|P47857|P52480|P52792-1|P53657-2|P58742|P59235|P70265|P70266|Q63850|Q64467|Q6DTY7|Q6PFD9|Q6ZQH8|Q80U93|Q8BH74|Q8BJ71|Q8BTS4|Q8C570|Q8CAA7|Q8CEC0|Q8CIC2|Q8K3Z9|Q8R0G9|Q8R2U0|Q8R332|Q8R480|Q8R4R6|Q8VCB1|Q8VDL4|Q91X44|Q91Y97|Q99P88|Q9CRC9|Q9CWU9|Q9D1M0|Q9DBJ1|Q9ERU9|Q9JIH2|Q9QY81|Q9WUA3|Q9Z0W3,16051738,1.2.1.12|2.3.2.-|2.6.99.-|2.7.1.105|2.7.1.106|2.7.1.11|2.7.1.147|2.7.1.40|2.7.2.3|3.1.3.46|3.4.21.-|3.5.99.6|4.1.2.13|4.2.1.11|4.2.3.3|5.3.1.1|5.3.1.9|5.4.2.11|5.4.2.4,NULL
Reactome:R-MMU-5653890,Lactose synthesis,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-5653890,Reactome,3,R-MMU-5653890,R-MMU-5653890,10090,Mus musculus (house mouse),0,27854|79025|440995|6857410|20056717,14595|16770|20525,P15535|P17809|P29752,806951,2.4.1.-|2.4.1.22|2.4.1.275|2.4.1.38|2.4.1.90,NULL
Reactome:R-MMU-71336,Pentose phosphate pathway,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-71336,Reactome,3,R-MMU-71336,R-MMU-71336,10090,Mus musculus (house mouse),0,177|280|888|962|1038|5779|150629|165007|439184|439452|3681305|5459820|5459862|5459869|5459879|5460448|5461108|7058055|15938963|15938965|15938972|15983949|20848918|21604863|21604864|22848660|23615443|24794349|24794350|25320183,14381|19139|19895|21351|21881|66171|66681|71336|74637|110208|110639|232449,P40142|P47968|Q00612|Q7TSV4|Q8R1Q9|Q91YP3|Q93092|Q9CQ60|Q9CS42|Q9D5J6|Q9D7G0|Q9DCD0,3790084|5666113|18987987,1.1.1.44|1.1.1.49|2.2.1.1|2.2.1.2|2.7.1.14|2.7.1.15|2.7.6.1|3.1.1.31|4.1.2.4|5.3.1.6|5.4.2.2|5.4.2.7,NULL
Reactome:R-MMU-1483249,Inositol phosphate metabolism,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-1483249,Reactome,3,R-MMU-1483249,R-MMU-1483249,10090,Mus musculus (house mouse),0,271|888|890|892|962|977|1038|5958|27284|107737|107758|121920|121969|127296|128419|439444|439455|439456|439468|440043|440194|440211|440388|443247|443266|3081055|3681305|5461108|7058055|15938971|25245205|45479489|53380302|53477671|53477675,12315|16329|17330|18795|18796|18797|18799|18802|18803|19211|56409|56727|69718|71207|71780|72469|74055|75678|104759|114875|217837|228550|233011|234779|269437|269615,A2AP18|A3KGF7|B2RXC2|O08586|P0DP26|P49442|P51432|Q4KWH5|Q62077|Q6P1C1|Q7TS72|Q7TT16|Q8BG07|Q8BYN3|Q8CIH5|Q8K2J0|Q8K3R3|Q8K4D7|Q8K4S1|Q8R071|Q8R2U6|Q8R3B1|Q91UZ1|Q9JHU9|Q9JI46|Q9QXN5|Q9Z1B3|Q9Z2L6,11331907|16781889|17943301|20359876|20414202,1.13.99.1|2.7.1.127|2.7.1.134|2.7.1.140|2.7.1.151|2.7.1.153|2.7.1.158|2.7.1.159|3.1.16.1|3.1.3.16|3.1.3.48|3.1.3.57|3.1.3.62|3.1.3.67|3.1.3.80|3.1.4.11|3.6.1.-|3.6.1.52|5.5.1.4,NULL
Reactome:R-MMU-8978868,Fatty acid metabolism,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-8978868,Reactome,3,R-MMU-8978868,R-MMU-8978868,10090,Mus musculus (house mouse),0,176|271|280|288|311|457|700|769|784|888|923|962|970|977|985|1038|4973|5884|5886|10964|12404|26840|27284|32051|92753|92836|94140|107738|122283|124886|160419|164533|164800|165436|168166|169621|222656|439756|444795|444899|445049|445344|445580|446013|448457|449118|449534|526795|643975|644066|644109|3081439|3082032|3082152|3082227|3434975|3681305|4097574|5257127|5280360|5280363|5280383|5280450|5280492|5280493|5280497|5280724|5280745|5280778|5280877|5280878|5280879|5280883|5280886|5280892|5280893|5280934|5281969|5282411|5282996|5283141|5283155|5283156|5283157|5283162|5283169|5283202|5283211|5460299|5461108|5497111|5497112|5497113|5497143|6444117|6449839|7048684|7058055|9543037|9548885|9862886|11953816|11966108|11966110|11966111|11966114|11966121|11966124|11966132|11966142|11966155|11966158|11966160|11966162|11966165|11966169|11966172|11966173|11966175|11966177|11966179|11966190|11966194|11966197|11966204|11966216|14671060|15938963|15938965|15938971|15938972|15983949|16019966|20839325|20849056|21604869|22833664|24883423|24883430|24906329|24906330|25113190|25137904|25164091|25229584|25246198|25271599|25271602|40467895|42607303|44176398|45266540|45266541|45266545|52921883|53477801|54675850|56927863|56927904|56927909|56927910|56927911|56927963|56927977|56927978|56927993|56928001|56928006|56928012|56928013|56928014|57339307|70678541|70678621|70678653|70678705|70678741|71627307|86289544|90658133,11363|11364|11370|11409|11430|11666|11671|11684|11686|11687|11688|11689|11690|12408|12896|12908|13177|13358|13479|13850|14073|14081|14104|14598|14979|15107|15488|16922|16993|17001|17117|17164|17250|18783|18979|19015|19063|19215|19224|19225|20181|20250|20280|20520|20524|21391|21835|23801|23887|23986|26378|26458|26922|52538|54326|54397|54486|56185|56473|56690|56794|57279|64292|66904|67460|68041|70316|71854|71985|72482|73724|74114|74121|74147|74522|74559|76267|80911|93732|93747|97212|102632|104112|107476|108079|108097|108099|110821|110959|111175|170789|223722|231086|234309|235674|245533|257633|264895|269823|319446|330260,A2ADU9|O08914|O09114|O09174|O35379|O35386|O35448|O35488|O35936|O70579|O70582|O88531|P11930|P13011|P19096|P22437|P24527|P28700|P30355|P31428|P32020|P34914|P35396|P36423|P39654|P39655|P41216|P42125|P45952|P47713|P47740|P47934|P48410|P48758|P48999|P49138|P50171|P50544|P51174|P51660|P52430|P52825|P53808|P58137|Q05769|Q07417|Q3URE1|Q3UXL1|Q5SWU9|Q60860|Q60928|Q61425|Q62086|Q62087|Q62264|Q69ZX6|Q6PAM0|Q80XL6|Q8BH95|Q8BMS1|Q8BRK8|Q8BWT1|Q8C255|Q8JZU2|Q8K370|Q8R3F5|Q8VCH0|Q8VCW8|Q91V92|Q91VT4|Q91WG5|Q91ZA3|Q920L1|Q99J39|Q99JY0|Q99MN9|Q99MZ7|Q9CQ20|Q9CQ62|Q9CR21|Q9D061|Q9D1I5|Q9D2Y9|Q9DA79|Q9DBM2|Q9DBS4|Q9DC50|Q9DCS3|Q9EPL9|Q9JHF7|Q9JLJ4|Q9JM51|Q9NYQ2|Q9QXD1|Q9QXE0|Q9R0H0|Q9WUR2|Q9WV07|Q9WV68|Q9Z0E8|Q9Z0R9|Q9Z2A9|Q9Z2Z6,NULL,1.1.1.100|1.1.1.184|1.1.1.189|1.1.1.196|1.1.1.197|1.1.1.211|1.1.1.239|1.1.1.35|1.1.1.62|1.1.1.n12|1.1.3.15|1.11.1.-|1.13.11.-|1.13.11.12|1.13.11.31|1.13.11.33|1.13.11.34|1.13.11.58|1.14.11.18|1.14.19.1|1.14.19.3|1.14.19.44|1.14.99.1|1.17.99.3|1.2.1.3|1.2.1.94|1.3.1.104|1.3.1.124|1.3.1.38|1.3.1.39|1.3.3.-|1.3.3.6|1.3.8.-|1.3.8.1|1.3.8.7|1.3.8.8|1.3.8.9|1.3.99.-|1.6.5.10|2.3.1.-|2.3.1.137|2.3.1.155|2.3.1.16|2.3.1.176|2.3.1.199|2.3.1.21|2.3.1.38|2.3.1.39|2.3.1.41|2.3.1.7|2.3.1.75|2.3.1.85|2.3.1.9|2.3.2.2|2.3.3.8|2.5.1.-|2.5.1.18|2.7.11.1|2.7.11.27|2.7.11.31|3.1.1.-|3.1.1.2|3.1.1.4|3.1.1.5|3.1.1.81|3.1.2.-|3.1.2.1|3.1.2.11|3.1.2.14|3.1.2.2|3.1.2.22|3.1.2.27|3.1.2.3|3.1.2.5|3.1.3.76|3.1.8.1|3.3.2.-|3.3.2.10|3.3.2.6|3.4.11.4|3.4.13.19|3.4.19.13|3.4.19.14|3.5.1.99|3.5.2.6|3.6.1.-|4.1.1.9|4.1.2.63|4.2.1.107|4.2.1.119|4.2.1.152|4.2.1.17|4.2.1.59|4.4.1.20|5.1.99.1|5.1.99.4|5.3.3.8|5.3.99.2|5.3.99.3|5.3.99.5|5.4.4.7|6.2.1.-|6.2.1.15|6.2.1.2|6.2.1.24|6.2.1.3|6.2.1.7|6.2.1.n3|6.4.1.2|6.4.1.3|7.6.2.-|7.6.2.2|7.6.2.3,NULL
Reactome:R-MMU-2142753,Arachidonic acid metabolism,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-2142753,Reactome,3,R-MMU-2142753,R-MMU-2142753,10090,Mus musculus (house mouse),0,271|457|700|888|962|977|1038|4973|5884|5886|10964|12404|27284|32051|124886|444899|445049|448457|526795|3434975|5257127|5280360|5280363|5280383|5280492|5280493|5280497|5280724|5280745|5280778|5280877|5280878|5280879|5280883|5280886|5280892|5280893|5281969|5282411|5283141|5283155|5283156|5283157|5283162|5283169|5283202|5283211|5460299|5461108|6449839|7048684|7058055|9548885|9862886|15938972|15983949|20839325|25113190|40467895|42607303|52921883|54675850,11684|11686|11687|11688|11689|11690|12408|13479|13850|14073|14598|16993|17001|17164|17250|18783|18979|19215|19224|19225|21391|23801|23887|54486|64292|71854|245533|269823|319446|330260,A2ADU9|O08914|O09114|O35379|O35936|O70582|P22437|P24527|P30355|P31428|P34914|P36423|P39654|P39655|P47713|P48758|P48999|P49138|P52430|Q05769|Q3UXL1|Q60860|Q60928|Q62086|Q62087|Q8C255|Q9DA79|Q9JHF7|Q9JM51|Q9WV07|Q9Z2A9,19244215,1.1.1.184|1.1.1.189|1.1.1.196|1.1.1.197|1.11.1.-|1.13.11.-|1.13.11.12|1.13.11.31|1.13.11.33|1.13.11.34|1.13.11.58|1.14.99.1|2.3.1.75|2.3.2.2|2.5.1.-|2.5.1.18|2.7.11.1|3.1.1.-|3.1.1.2|3.1.1.4|3.1.1.5|3.1.1.81|3.1.3.76|3.1.8.1|3.3.2.-|3.3.2.10|3.3.2.6|3.4.11.4|3.4.13.19|3.4.19.13|3.4.19.14|3.5.1.99|3.5.2.6|4.2.1.152|4.4.1.20|5.3.99.2|5.3.99.3|5.3.99.5|5.4.4.7|7.6.2.2|7.6.2.3,NULL
Reactome:R-MMU-428157,Sphingolipid metabolism,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-428157,Reactome,3,R-MMU-428157,R-MMU-428157,10090,Mus musculus (house mouse),0,271|280|402|888|962|977|984|985|1014|1015|1038|1117|5881|11177|12594|35717|79025|91486|94140|122121|439156|439197|439357|439853|644109|644260|3681305|5280335|5280541|5283560|5461108|6419712|6857410|6857581|7058055|9963963|15938971|15938972|15983949|20056717|21604869|25113190,11671|11883|11886|13244|14420|14421|14466|14667|15211|15212|19012|19156|20397|20597|20698|20773|22234|22239|23943|23956|26879|50877|52635|56356|56632|58911|66190|67630|67689|67902|68018|70059|70750|74442|76303|77626|79554|103236|171168|208449|216892|223753|228677|230101|230379|242083|268656|272636|338521,O09005|O35704|O88693|P17439|P20060|P29416|P47740|P50428|P51569|P54818|P97363|Q04519|Q09200|Q3B7Z2|Q3TIW9|Q3TZZ7|Q3U7R1|Q5DTI8|Q5MPP0|Q60648|Q61207|Q61469|Q64676|Q69ZF3|Q6GV12|Q6ZPR5|Q80VQ0|Q8BG54|Q8BHN0|Q8BPG6|Q8BS40|Q8BVP5|Q8CI15|Q8K4Q7|Q8R0F3|Q8R0X7|Q8R2F2|Q8R4X1|Q8VCQ6|Q8VD53|Q91VM4|Q920V1|Q9D099|Q9D4B1|Q9DA37|Q9EQG9|Q9JIA7|Q9JL62|Q9JMH3|Q9JMH7|Q9WV54,12011104|18165232|18216770,1.1.1.102|1.14.18.-|1.14.18.5|1.14.19.17|1.2.1.28|1.2.1.3|1.2.1.5|1.2.1.7|1.2.1.94|1.8.3.7|2.3.1.-|2.3.1.50|2.4.1.-|2.4.1.47|2.4.1.79|2.4.1.80|2.4.1.92|2.7.1.138|2.7.1.91|2.7.11.1|2.7.8.-|2.7.8.27|3.1.3.-|3.1.3.106|3.1.3.16|3.1.3.4|3.1.3.81|3.1.4.12|3.1.6.8|3.2.1.-|3.2.1.18|3.2.1.22|3.2.1.45|3.2.1.46|3.2.1.52|3.5.1.-|3.5.1.23|4.1.2.27|5.2.1.-,NULL
Reactome:R-MMU-191273,Cholesterol biosynthesis,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-191273,Reactome,3,R-MMU-191273,R-MMU-191273,10090,Mus musculus (house mouse),0,280|284|647|888|962|977|1038|1195|5884|5886|5997|65728|92746|101770|165609|246983|439230|439400|439418|439423|439577|440558|440560|443212|445713|445995|638072|643975|3681305|4097574|5280592|5288565|5459811|5459827|5461108|7058055|15938971|15938972|15983949|21604869|22298942|24906328|25113190|45266540|45266541|56927972|56927973|56927974|102330427,13121|13360|13595|14137|14593|15357|15490|16987|17855|18194|20775|66234|68603|68865|73166|74411|74754|98386|110196|110460|192156|208715|235293,O88455|O88736|O88822|P52019|P53798|P70245|Q01237|Q3U9G9|Q71KT5|Q8BLN5|Q8CAY6|Q8JZK9|Q8K0C4|Q8VCH6|Q920E5|Q99JF5|Q9CRA4|Q9D0U9|Q9D1G2|Q9D4F2|Q9R008|Q9R1J0|Q9WTN0,1390320|3524618|11969204|12668600|16054061,1.1.1.170|1.1.1.210|1.1.1.270|1.1.1.34|1.1.1.62|1.14.14.154|1.14.14.17|1.14.18.9|1.14.19.20|1.3.1.21|1.3.1.70|1.3.1.72|2.3.1.9|2.3.3.10|2.5.1.-|2.5.1.1|2.5.1.10|2.5.1.21|2.5.1.29|2.7.1.36|2.7.4.2|3.1.3.-|3.6.1.-|3.6.1.68|4.1.1.33|5.3.3.5|5.4.99.7,NULL
Reactome:R-MMU-74182,Ketone body metabolism,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-74182,Reactome,3,R-MMU-74182,R-MMU-74182,10090,Mus musculus (house mouse),0,96|175|888|1038|92135|160419|445127|4097574|5288565|5461108|6971017|6971058|15938965|15938971|21604869|25113190|45266540|45266541|45266545,15356|15360|67041|69772|71911|78894|110446|208982|353371|380660,P38060|P54869|Q14DH7|Q80XN0|Q8JZS7|Q8JZV9|Q8QZT1|Q9D0K2|Q9D2R0|Q9ESL0,21479626,1.1.1.-|1.1.1.30|2.3.1.9|2.3.3.10|2.8.3.5|4.1.3.4|6.2.1.1|6.2.1.16|6.2.1.17,NULL
Reactome:R-MMU-70268,Pyruvate metabolism,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-70268,Reactome,3,R-MMU-70268,R-MMU-70268,10090,Mus musculus (house mouse),0,280|313|760|880|888|962|1038|25975|32051|107689|107735|124886|222656|440018|444795|3681305|5461108|7048684|7058055|15938963|15938971|15938972|15983949|21604869|25113190|45266541,12215|14651|14874|16828|16832|16833|18604|19015|20181|22333|27402|68263|109801|235339|381511,P00342|P06151|P16125|P18572|P28700|P35396|Q3UV70|Q504M2|Q60932|Q8BKZ9|Q8BMF4|Q8BVP2|Q99KB8|Q9CPU0|Q9D051|Q9JK42|Q9WVL0,2188967|7273846,1.1.1.27|1.2.4.1|2.3.1.12|2.5.1.18|2.7.11.2|3.1.2.6|3.1.3.43|4.4.1.5|5.2.1.2,NULL
Reactome:R-MMU-15869,Nucleotide metabolism,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-15869,Reactome,3,R-MMU-15869,R-MMU-15869,10090,Mus musculus (house mouse),0,190|223|271|280|649|769|784|888|962|977|1038|1135|1174|1175|1188|5789|15047|27284|27854|29936|32051|60961|93556|139340|439424|447920|643975|643976|644041|1492348|1778309|3423467|3440921|3681305|4097574|4755801|5257127|5281915|5460013|5460257|5460289|5460294|5460299|5460307|5460765|5461108|6971064|6971254|6992086|7048684|7058055|7058166|7058168|7058169|15938965|15938971|15938972|15983949|16755631|18601100|20848918|21123869|21604869|23279501|23421208|24794349|24916929|25244408|25245622|25320183|40467895|44229244|45266654|45266657|45266724|46878393|46878398|49791958|53477568|56927786|56928007|70680280|70680298|70680301|86289088|86289309|86289402|90657386|90657462|90658924|135397950|135398555|135398564|135398581|135398596|135398598|135398603|135398613|135398615|135398618|135398630|135398632|135398634|135398638|135398639|135398642|135398649|135573953|135871110|135871111|135874855|136093829|136630897|139036274|155903252|155903277|155903278|155903279|155920204,11486|11534|11564|11637|11639|11717|11821|12495|12496|12497|12499|13178|14450|14544|14782|14923|15452|16434|17766|18102|18103|20133|20135|21877|21915|22166|22171|22245|22247|22436|23917|23918|23959|27369|50493|50773|51797|53893|55936|56045|56520|56749|64705|66355|66358|67054|67365|67464|67725|68556|69719|70881|72090|72269|72962|74167|75686|75894|76952|80914|93685|93692|99586|103149|103850|105446|107569|108147|109674|213484|214254|229363|229665|230718|237823|320685|381101|382985|102216272,A3KFX0|B2RQC6|O08739|O35435|O55026|P00493|P03958|P04184|P07607|P07742|P08030|P10639|P11157|P13439|P15532|P24547|P43346|P47791|P50096|P52623|P53368|P54822|P55264|P55772|P56389|P70303|P70698|P97930|Q00519|Q01768|Q3TCT4|Q3THK7|Q3U0P5|Q3U2V3|Q3V1D3|Q3V1L4|Q5SUR0|Q60710|Q61503|Q64520|Q64737|Q6P3D0|Q6PEE3|Q80SY6|Q80VJ3|Q8BFW6|Q8BG93|Q8BVU5|Q8CHR6|Q8CIH9|Q8JZU0|Q8K0L2|Q8K2D6|Q8VC97|Q8VCE6|Q8VCG1|Q8VCP8|Q91YE9|Q91YL3|Q99KS6|Q99L27|Q99N42|Q99PM9|Q9CWJ9|Q9D020|Q9D5U5|Q9D892|Q9DBT4|Q9DBT5|Q9DCL9|Q9DCZ1|Q9EQF5|Q9JKX6|Q9JM14|Q9JMH6|Q9QUH0|Q9QX60|Q9R088|Q9R111|Q9WTP6|Q9WUR9|Q9WUZ9|Q9WV84,8283301|17266529|20494131,1.1.1.205|1.11.1.2|1.17.1.4|1.17.3.2|1.17.4.1|1.3.1.2|1.3.5.2|1.7.1.7|1.8.1.7|1.8.1.9|2.1.1.45|2.1.2.2|2.1.2.3|2.1.3.2|2.4.2.10|2.4.2.4|2.4.2.7|2.4.2.8|2.7.1.-|2.7.1.113|2.7.1.20|2.7.1.21|2.7.1.48|2.7.1.74|2.7.1.76|2.7.1.77|2.7.13.3|2.7.4.10|2.7.4.3|2.7.4.6|2.7.4.8|2.7.4.9|2.7.7.96|3.1.3.-|3.1.3.5|3.1.3.91|3.1.3.96|3.1.3.99|3.1.5.-|3.2.2.-|3.5.1.6|3.5.2.2|3.5.2.3|3.5.4.-|3.5.4.10|3.5.4.12|3.5.4.3|3.5.4.4|3.5.4.5|3.5.4.6|3.6.1.-|3.6.1.13|3.6.1.15|3.6.1.16|3.6.1.22|3.6.1.42|3.6.1.5|3.6.1.53|3.6.1.56|3.6.1.58|3.6.1.6|3.6.1.62|3.6.1.64|3.6.1.9|4.1.1.21|4.1.1.23|4.3.2.2|6.3.2.6|6.3.3.1|6.3.4.13|6.3.4.2|6.3.5.2|6.3.5.3|6.3.5.5,NULL
Reactome:R-MMU-196783,Coenzyme A biosynthesis,organism_specific,pathway,https://reactome.org/content/detail/R-MMU-196783,Reactome,3,R-MMU-196783,R-MMU-196783,10090,Mus musculus (house mouse),0,280|987|988|41635|440304|444485|643976|4097574|5461108|6419722|7058055|15938965|25113190,66812|71743|73132|106564,Q3U4S0|Q8BZB2|Q8C0K5|Q8VDG5|Q9DBL7,2981478|11158296|11923312|13032008|15893380,2.7.1.24|2.7.7.3|4.1.1.36|6.3.2.51,NULL
